,X0,X1,X2,X3,X5,X6,X7,X8,X9,X10,X11,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X43,X44,X45,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67
X32,0.05,0.15,0.025,0.05,0.025,0.075,0.0,0.05,0.075,0.15,0.975,0.025,0.15,0.475,0.475,0.575,0.425,0.35,0.45,0.125,0.65,0.6,0.575,0.8,0.65,0.9,0.95,0.425,0.575,0.425,1.0,0.95,0.05,0.05,0.125,0.075,0.05,0.075,0.05,0.025,0.05,0.05,0.05,0.05,0.025,0.075,0.05,0.075,0.025,0.05,0.15,0.025,0.1,0.025,0.1,0.075,0.075,0.05,0.2,0.175,0.1,0.225,0.05,0.15
X33,0.45,0.25,0.4,0.35,0.125,0.15,0.125,0.4,0.075,0.15,0.125,0.225,0.275,0.25,0.275,0.95,0.275,0.275,0.05,0.125,0.675,0.8,0.65,1.0,0.625,0.925,0.75,0.7,0.725,0.75,0.675,1.0,0.025,0.05,0.05,0.075,0.025,0.15,0.025,0.05,0.05,0.15,0.075,0.1,0.0,0.075,0.05,0.075,0.075,0.1,0.125,0.1,0.1,0.15,0.05,0.075,0.075,0.075,0.1,0.15,0.15,0.2,0.125,0.2
X34,0.05,0.075,0.075,0.125,0.075,0.025,0.075,0.075,0.0,0.05,0.025,0.05,0.05,0.075,0.075,0.025,0.05,0.025,0.075,0.025,0.0,0.025,0.0,0.0,0.025,0.025,0.0,0.0,0.0,0.05,0.0,0.0,1.0,0.425,0.9,0.75,0.575,0.1,0.575,0.875,0.4,0.275,0.125,0.075,0.05,0.675,0.175,0.175,0.05,0.1,0.025,0.075,0.0,0.05,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.025
X35,0.075,0.225,0.05,0.25,0.1,0.075,0.175,0.2,0.075,0.125,0.125,0.025,0.075,0.075,0.125,0.05,0.05,0.025,0.1,0.0,0.025,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.025,0.0,0.025,0.0,0.575,1.0,0.425,0.4,0.875,0.125,0.125,0.275,0.15,0.125,0.525,0.125,0.175,0.3,0.1,0.15,0.325,0.1,0.35,0.175,0.4,0.525,0.925,0.05,0.05,0.025,0.0,0.025,0.025,0.0,0.025,0.0
X36,0.1,0.05,0.075,0.025,0.1,0.1,0.1,0.125,0.05,0.05,0.075,0.025,0.025,0.05,0.075,0.0,0.1,0.075,0.05,0.05,0.075,0.2,0.0,0.125,0.05,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.35,1.0,0.825,1.0,0.15,0.65,0.65,0.3,0.025,0.0,0.075,0.1,0.125,0.375,0.125,0.075,0.075,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X37,0.1,0.1,0.125,0.1,0.025,0.175,0.1,0.175,0.125,0.075,0.075,0.1,0.125,0.15,0.075,0.05,0.025,0.15,0.05,0.1,0.025,0.025,0.0,0.05,0.075,0.0,0.0,0.025,0.0,0.0,0.025,0.025,0.85,0.275,1.0,1.0,0.625,0.15,0.075,0.55,0.1,0.125,0.45,0.15,0.15,0.1,0.1,0.075,0.2,0.4,0.275,0.175,0.125,0.275,0.275,0.1,0.725,0.125,0.075,0.025,0.05,0.025,0.025,0.0
X38,0.175,0.05,0.2,0.175,0.1,0.15,0.325,0.075,0.05,0.1,0.2,0.05,0.075,0.075,0.075,0.05,0.05,0.05,0.125,0.075,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.675,0.325,1.0,0.1,1.0,0.125,0.125,0.125,0.15,0.15,1.0,0.275,0.375,0.05,0.15,0.2,0.025,0.625,0.125,0.1,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X39,0.075,0.2,0.125,0.05,0.125,0.05,0.2,0.175,0.15,0.1,0.1,0.15,0.075,0.15,0.175,0.15,0.05,0.125,0.1,0.075,0.025,0.025,0.0,0.0,0.1,0.025,0.025,0.025,0.0,0.025,0.025,0.0,0.45,0.8,0.3,0.075,0.3,1.0,0.6,0.225,0.125,0.4,1.0,0.125,0.125,0.15,0.125,0.15,0.175,0.15,0.125,0.05,0.425,0.725,0.075,0.2,0.0,0.0,0.05,0.075,0.05,0.075,0.025,0.025
X40,0.075,0.175,0.15,0.075,0.15,0.075,0.275,0.075,0.05,0.175,0.025,0.075,0.075,0.125,0.025,0.025,0.075,0.075,0.05,0.125,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.05,0.9,0.125,0.75,0.1,0.25,0.8,1.0,0.15,0.3,0.075,0.925,0.125,0.15,0.375,0.3,0.025,0.05,0.175,0.125,0.075,0.025,0.05,0.025,0.05,0.05,0.0,0.025,0.0,0.0,0.0,0.025,0.0
X41,0.125,0.125,0.025,0.175,0.125,0.225,0.1,0.05,0.1,0.075,0.1,0.0,0.0,0.2,0.1,0.05,0.025,0.125,0.075,0.125,0.025,0.025,0.05,0.025,0.025,0.025,0.05,0.05,0.05,0.025,0.075,0.05,0.975,0.225,0.875,0.25,0.175,0.55,0.575,1.0,0.525,0.125,0.025,0.025,0.075,0.15,0.125,0.15,0.025,0.25,0.125,0.05,0.075,0.075,0.0,0.1,0.1,0.0,0.025,0.0,0.0,0.025,0.0,0.025
