,ROI0,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31,ROI32,ROI33,ROI34,ROI35,ROI36,ROI37,ROI38,ROI39,ROI40,ROI41,ROI42,ROI43,ROI44,ROI45,ROI46,ROI47,ROI48,ROI49,ROI50,ROI51,ROI52,ROI53,ROI54,ROI55,ROI56,ROI57,ROI58,ROI59,ROI60,ROI61,ROI62,ROI63
ROI0,1,1,1,1,1,1,1,1,1,2,2,3,3,2,1,3,1,1,2,1,2,3,3,2,1,2,3,3,3,3,3,3,1,2,1,2,3,3,3,3,1,1,1,3,3,3,3,2,1,3,3,2,3,2,3,3,2,1,1,3,1,2,1,3
ROI1,1,1,1,1,1,1,1,1,2,2,2,1,3,2,1,1,3,3,2,1,3,2,2,2,2,1,2,1,3,2,2,2,3,1,1,2,3,3,1,3,2,1,2,2,2,2,3,1,2,3,1,2,3,1,2,1,3,1,3,2,1,3,1,2
ROI2,1,2,1,3,1,2,1,1,2,2,3,3,2,2,2,2,1,3,3,1,1,3,2,2,3,2,3,1,1,1,2,2,2,1,1,1,3,3,2,2,1,1,1,3,1,1,1,1,3,2,1,1,2,2,2,3,1,1,3,3,2,2,3,3
ROI3,1,1,2,1,1,3,3,1,1,3,3,2,1,1,1,2,3,1,3,3,2,2,1,3,3,3,2,1,1,3,2,2,3,2,2,1,2,1,1,2,2,1,1,3,1,1,1,1,2,3,2,1,2,3,2,1,3,3,1,1,3,3,3,2
ROI4,1,3,3,3,1,1,2,2,3,2,3,2,2,1,1,3,2,3,1,3,1,2,3,1,3,2,3,3,1,3,1,1,2,3,1,2,2,2,1,1,1,3,1,2,3,1,2,1,1,2,1,2,1,1,3,1,2,3,3,3,1,3,3,1
ROI5,1,1,1,1,1,1,1,1,3,1,3,3,2,1,2,2,2,3,1,2,2,2,2,2,2,3,3,2,2,2,3,2,1,3,3,1,3,3,3,3,3,3,3,1,3,3,2,3,3,2,3,1,3,3,2,2,1,1,2,3,2,3,2,1
ROI6,1,1,1,2,1,1,1,1,3,1,3,1,3,1,2,1,2,3,3,1,2,3,2,1,1,3,3,3,3,3,1,1,3,3,3,3,2,2,3,1,3,1,3,1,3,3,3,1,3,1,3,1,2,1,1,1,3,3,3,1,3,1,3,1
ROI7,1,1,1,1,1,3,1,1,1,1,2,3,2,2,1,3,3,3,1,3,3,2,3,1,3,3,2,3,2,3,2,2,3,1,1,1,2,3,3,1,3,1,1,2,3,2,3,3,3,1,2,3,2,1,2,1,2,3,2,1,1,3,3,1
ROI8,2,3,2,3,1,1,2,2,1,3,2,3,1,3,1,1,1,2,1,3,3,2,1,2,3,3,3,1,2,1,1,1,3,1,3,1,2,3,1,2,3,1,1,3,3,3,1,3,3,2,3,3,3,3,3,2,2,1,1,1,3,1,1,3
ROI9,2,1,3,1,2,1,3,1,3,1,1,3,1,1,1,3,2,3,1,1,3,3,2,1,1,2,2,3,1,2,1,1,2,2,2,3,2,1,3,2,1,1,1,3,2,1,1,2,2,2,2,1,2,2,2,2,3,3,2,3,2,1,1,3
